운영개시일,동명,시설명,위치,부지면적,주차면수 소계,주차면수 노상,주차면수 노외,거주자,공영,급지,주차요금 5분당,주차요금 주간,주차요금 야간,주차요금 종일,시설규모,비고,경도,위도,행정동코드,행정동명
10-Sep,중곡1동,중곡제일전통시장 공영,중곡1동 221-6,695,21,0,21,,O,2,250원,,3만원,,,구유지(지역경제과·위탁),127.0818342,37.5638409,1121574000,중곡1동
Mar-98,중곡2동,장신구,중곡2동 133-10,531,22,0,22,O,,5,,4만원,3만원,5만원,,시유지,127.0840305,37.5564153,1121575000,중곡2동
Jun-99,중곡2동,중곡동복개천,중곡2동 150-196,,78,78,0,,O,2,200원,,,10만원,,시유도로(노상·공단위탁),127.0857699,37.5604114,1121575000,중곡2동
09-Apr,중곡3동,중곡3동마을공원,중곡3동 195-1,3038.3,162,,162,O,O,5,75원 ,4만원,3만원,5만원,지하2층,구유지,127.084657,37.5699629,1121576000,중곡3동
10-Jan,중곡3동,중곡체육센터,중곡3동 168-8,"3,690.00",6,,6,O,,5,,4만원,3만원,5만원,,구유지,127.0847284,37.567828,1121576000,중곡3동
Jan-96,중곡4동,신성시장길,중곡4동 453 일대,,33,33,,,O,2,250원,,,10만원,,구유도로(노상·민간위탁),127.089631,37.5575038,1121577000,중곡4동
01-Aug,중곡4동,새오름,중곡4동 143-70,137,7,,7,O,,5,,4만원,3만원,5만원,,구유지,127.0908854,37.561388,1121577000,중곡4동
03-Apr,중곡4동,용마산남,중곡4동 69-2,777.9,25,,25,O,,5,,4만원,3만원,5만원,,구유지,127.0921695,37.5591092,1121577000,중곡4동
05-Apr,중곡4동,긴고랑길공영,중곡4동 72-1 외,"1,653.00",53,,53,O,,5,,4만원,3만원,5만원,,구유지,127.0942283,37.5601342,1121577000,중곡4동
Dec-98,중곡4동,해오름,중곡4동 87-14,462.9,20,,20,O,,5,,4만원,3만원,5만원,,시유지,127.0917869,37.5570609,1121577000,중곡4동
05-Apr,중곡4동,뻥튀기골주차장(용마공원주차장),중곡4동 176-110,595,18,,18,O,,5,,4만원,3만원,5만원,,시유지(임야일부),127.0894437,37.5682429,1121577000,중곡4동
09-Jan,중곡4동,중곡4동 599-6 인근,면목4동 산75-2,124.2,9,,9,O,,5,,4만원,3만원,5만원,,시유지(임야일부),127.0893734,37.5702967,1126054000,면목4동
09-Nov,중곡4동,한림대부지,중곡4동 176-119,179,8,,8,O,,5,,4만원,3만원,5만원,,시유지,127.0886498,37.5683719,1121577000,중곡4동
05-Jun,능동,능동공영,능동 205,"1,167.00",77,,77,O,O,4,150원,4만원,3만원,5만원,2층3단,구유지,127.0802341,37.5540431,1121578000,능동
Jun-98,능동,능동공동,능동 377,485,25,,25,O,,5,,4만원,3만원,5만원,1층2단,시유지,127.079588,37.5532091,1121578000,능동
07-Mar,구의1동,구의1동 공영,구의1동 243-78,"1,037.00",172,,172,O,O,4,150원,5만원,3만원,8만원,7층8단,구유지,127.0878733,37.53828,1121585000,구의1동
Jan-99,구의1동,구의번영,구의1동 230-7,794.4,34,,34,O,,5,,4만원,3만원,5만원,,시유지,127.0890341,37.5442448,1121585000,구의1동
17-Jan,구의2동,구의2동 주택가공동,구의2동 30-9,"1,170.60",90,,90,O,O,5,75원,4만원,3만원,5만원,지하1층 2층3단,구유지,127.092888,37.5530597,1121586000,구의2동
06-Jan,구의2동,광문학당,구의2동 72-8,258.5,12,,12,O,,5,,4만원,3만원,5만원,,구유지(가정복지과),127.0902566,37.5479396,1121586000,구의2동
03-Jun,구의2동,공원(동의초인근),구의2동 6,630,11,,11,O,,5,,3만원,2만원,4만원,,시유지(공원),127.0973665,37.5533283,1121586000,구의2동
Sep-94,구의3동,동서울길 공영,구의3동 609-1 일대,627.4,94,68,26,,O,2,250원,,,10만원,,구유도로(노상+노외),127.0916581,37.5331641,1121587000,구의3동
09-Jan,구의3동,구의3동 공영,구의3동 219-15,"1,237.40",159,,159,O,O,4,150원,5만원,3만원,8만원,지하1층 4층5단,구유지,127.0913596,37.5391178,1121587000,구의3동
08-Jan,구의3동,올림픽대교(시영),구의3동 623-1,,19,,19,O,,5,,3만원,2만원,4만원,,시유지,127.0978011,37.5388698,1121587000,구의3동
05-May,광장동,세촌,광장동 275-5,121,7,,7,O,,5,,3만원,2만원,4만원,,구유지,127.1055485,37.5486421,1121581000,광장동
08-Dec,광장동,광장공동 ,광장동 394-43 외,441,8,,8,O,,5,,4만원,3만원,5만원,,구유지(가로경관과),127.1017039,37.5464954,1121581000,광장동
Mar-00,광장동,큰나루,광장동 126,512,13,,13,O,,3,,,,10만원,,시유지,127.1103382,37.5503272,1121581000,광장동
10-Jun,자양1동,자양전통시장 공영,자양1동 631-18,447.5,24,,24,,O,2,250원,,3만원,,2층,구유지(지역경제과·위탁),127.0815917,37.5337981,1121582000,자양1동
Aug-00,자양2동,유수지,자양2동 594,"9,000.00",281,,281,O,O,5,150원,4만원,3만원,5만원,,시유지,127.0777119,37.5291095,1121583000,자양2동
Jan-94,자양3동,송림식당길,자양3동 712 일대,,94,94,,,O,2,200원,,,9만원,,시유도로(노상·공단위탁),127.0754792,37.5349218,1121584000,자양3동
05-Mar,자양4동,자양4동 공영,자양4동 5-5,"1,988.40",86,,86,,O,4,150원,,,10만원,,구유지,127.068191,37.5386759,1121584700,자양4동
09-Aug,자양4동,행복제2,자양4동 10-2,"1,313.10",53,,53,O,,5,,4만원,3만원,5만원,,시유지,127.0663298,37.5400218,1121584700,자양4동
05-Dec,화양동,느티나무(화양공동),화양동 110-67,"1,248.00",27,,27,O,,5,,4만원,3만원,5만원,,구유지,127.0714009,37.54627,1121571000,화양동
Apr-99,화양동,화양동 공영,화양동 63-2,664,44,,44,,O,4,150원,,,8만원,2층3단,시유지(민간위탁),127.0711979,37.5453043,1121571000,화양동
06-Mar,화양동,화양동 마을마당,화양동 523-2,112,6,,6,O,,5,,,,5만원,,국유지,127.0756827,37.5450151,1121571000,화양동
03-Dec,군자동,군자동 공영,군자동 2-41,"1,075.10",53,,53,O,,5,,4만원,3만원,5만원,2층3단,구유지,127.0767472,37.554133,1121573000,군자동
06-Jul,군자동,광진광장 공영,군자동 374,"1,516.00",36,,36,,O,2,250원,,,12만원,,구유지,127.0740656,37.5476695,1121573000,군자동
